parcelId,price,bedrooms,bathrooms,floorSpace,region
17294231,14999000,7,13,14073,"Newbury Park, Thousand Oaks, CA"
17294231,1450000,4,3,2568,"Westlake Village, CA"
17294231,1225000,4,3,2745,"Westlake Village, CA"
17294231,9990000,7,10,12656,"Newbury Park, Thousand Oaks, CA"
17294231,1150000,5,4,2393,"Westlake Village, CA"
17294231,525000,2,3,1440,"Westlake Village, CA"
17294231,1499000,5,5,3804,"Westlake Village, CA"
17294231,1099000,4,3,2300,"Westlake Village, CA"
17294231,919000,4,2,1838,"Westlake Village, CA"
17294231,3195000,3,3,2543,"Westlake Village, CA"
17294231,1875000,5,5,4431,"Westlake Village, CA"
17294231,9900000,5,7,8095,"Lake Sherwood, CA"
17294231,1250000,4,3,3012,"Westlake Village, CA"
17294231,1799999,4,4,2106,"Westlake Village, CA"
17294231,640000,2,2,1231,"Westlake Village, CA"
17294231,1080000,4,2,2371,"Westlake Village, CA"
17294231,1289000,3,3,2222,"Lake Sherwood, CA"
17294231,3450000,5,6,5954,"Thousand Oaks, CA"
17294231,1049000,4,3,2538,"Westlake Village, CA"
17294231,5495000,7,9,9304,"Thousand Oaks, CA"
17294231,2995000,5,6,5421,"Westlake Village, CA"
17294231,1499000,4,3,2920,"Thousand Oaks, CA"
17294231,1449000,4,4,3013,"Lake Sherwood, CA"
17294231,765000,2,2,1508,"Westlake Village, CA"
17294231,1599000,3,3,2282,"Westlake Village, CA"
17294231,2399000,5,4,4724,"Westlake Village, CA"
17294231,2975000,4,3,4075,"Westlake Village, CA"
17294231,988000,4,3,2412,"Westlake Village, CA"
17294231,4750000,6,6,7470,"Thousand Oaks, CA"
17294231,3950000,5,5,5466,"Thousand Oaks, CA"
17293716,14999000,7,13,14073,"Newbury Park, Thousand Oaks, CA"
17293716,1450000,4,3,2568,"Westlake Village, CA"
17293716,1225000,4,3,2745,"Westlake Village, CA"
17293716,9990000,7,10,12656,"Newbury Park, Thousand Oaks, CA"
