,parcelid,aircon,num_bathroom,num_bedroom,quality,num_bathroom_calc,area_total_calc,area_live_finished,fips,num_bath,num_garage,area_garage,heating,latitude,longitude,area_lot,num_pool,pooltypeid7,zoning_landuse_county,zoning_landuse,zoning_property,rawcensustractandblock,region_city,region_county,region_neighbor,region_zip,num_room,num_unit,build_year,tax_building,tax_total,tax_year,tax_land,tax_property,censustractandblock,logerror,transactiondate
0,17054981,,5.0,4.0,,5.0,3760.0,3760.0,6111,5.0,3.0,784.0,,34449407,-119254052,42688.0,1.0,1.0,1110,261,,61110009.011034,13091.0,2061,,97099.0,11.0,,1982.0,494390.0,859741.0,2015,365351.0,9608.74,61110009011034.0,-0.0130989712,2017-06-15
1,17054981,,5.0,4.0,,5.0,3760.0,3760.0,6111,5.0,3.0,784.0,,34449407,-119254052,42688.0,1.0,1.0,1110,261,,61110009.01,13091.0,2061,,97099.0,11.0,,1982.0,501928.0,872850.0,2016,370922.0,9673.46,61110000000000.0,-0.0130989712,2017-06-15
2,17055743,,2.0,3.0,,2.0,1444.0,1444.0,6111,2.0,1.0,0.0,,34454169,-119237898,7108.0,,,1110,261,,61110009.034011,13091.0,2061,,97099.0,6.0,,1951.0,128881.0,429608.0,2015,300727.0,5494.04,61110009034011.0,0.07398511740000001,2017-07-26
3,17055743,,2.0,3.0,,2.0,1444.0,1444.0,6111,2.0,1.0,0.0,,34454169,-119237898,7108.0,,,1110,261,,61110009.03,13091.0,2061,,97099.0,6.0,,1951.0,130845.0,436157.0,2016,305312.0,5538.8,61110000000000.0,0.07398511740000001,2017-07-26
4,17068109,,1.5,3.0,,1.5,1698.0,1698.0,6111,1.0,0.0,0.0,,34365693,-119448392,2588.0,,,1110,261,,61110012.061086,34543.0,2061,,97081.0,6.0,,1979.0,190508.0,282303.0,2015,91795.0,2954.74,61110012061086.0,0.0718855556,2017-07-28
5,17068109,,1.5,3.0,,1.5,1698.0,1698.0,6111,1.0,0.0,0.0,,34365693,-119448392,2588.0,,,1110,261,,61110012.06,34543.0,2061,,97081.0,6.0,,1979.0,193413.0,286606.0,2016,93193.0,2987.36,61110000000000.0,0.0718855556,2017-07-28
6,17073783,,2.5,3.0,,2.5,1264.0,1264.0,6111,2.0,2.0,0.0,,34303597,-119287236,1735.0,,,1128,265,,61110022.003007,34543.0,2061,,97081.0,5.0,,1986.0,115087.0,191811.0,2015,76724.0,2015.06,61110022003007.0,0.09530000000000001,2016-01-27
7,17073783,,2.5,3.0,,2.5,1264.0,1264.0,6111,2.0,2.0,0.0,,34303597,-119287236,1735.0,,,1128,265,,61110022.0,34543.0,2061,,97081.0,5.0,,1986.0,116841.0,194734.0,2016,77893.0,2037.32,61110000000000.0,0.09530000000000001,2016-01-27
8,17073952,,2.0,2.0,,2.0,986.0,986.0,6111,2.0,1.0,0.0,,34305600,-119284000,,,,1129,266,,61110022.003001004,34543.0,2061,,97081.0,4.0,,1989.0,89000.0,255000.0,2015,166000.0,2676.76,61110022003001.0,0.3056804993,2017-06-02
9,17073952,,2.0,2.0,,2.0,986.0,986.0,6111,2.0,1.0,0.0,,34305600,-119284000,,,,1129,266,,61110022.0,34543.0,2061,,97081.0,4.0,,1989.0,90357.0,258888.0,2016,168531.0,2706.24,61110000000000.0,0.3056804993,2017-06-02
10,17078502,,1.0,2.0,,1.0,1170.0,1170.0,6111,1.0,2.0,621.0,,34278012,-119257047,5643.0,,,1110,261,,61110019.002015,34543.0,2061,,97083.0,5.0,,1948.0,146518.0,584025.0,2015,437507.0,6153.62,61110019002015.0,-0.0737865387,2017-07-07
11,17078502,,1.0,2.0,,1.0,1170.0,1170.0,6111,1.0,2.0,621.0,,34278012,-119257047,5643.0,,,1110,261,,61110019.0,34543.0,2061,,97083.0,5.0,,1948.0,148752.0,592930.0,2016,444178.0,6220.7,61110000000000.0,-0.0737865387,2017-07-07
12,17079209,,2.0,3.0,,2.0,1257.0,1257.0,6111,2.0,2.0,440.0,,34273903,-119273825,5000.0,,,1110,261,,61110026.00200601,34543.0,2061,,97081.0,5.0,,1930.0,99386.0,455949.0,2015,356563.0,4809.1,61110026002006.0,-0.0113675582,2017-07-28
13,17079209,,2.0,3.0,,2.0,1257.0,1257.0,6111,2.0,2.0,440.0,,34273903,-119273825,5000.0,,,1110,261,,61110026.0,34543.0,2061,,97081.0,5.0,,1930.0,100900.0,462900.0,2016,362000.0,4861.56,61110000000000.0,-0.0113675582,2017-07-28
14,17085396,,0.0,0.0,,,2832.0,2832.0,6111,,,,,34258958,-119261956,8555.0,,,1210,246,,61110025.002009,34543.0,2061,,97081.0,0.0,2.0,1965.0,203264.0,447184.0,2015,243920.0,4770.72,61110025002009.0,-0.005335757,2017-04-12
15,17085396,,0.0,0.0,,,2832.0,2832.0,6111,,,,,34258958,-119261956,8555.0,,,1210,246,,61110025.0,34543.0,2061,,97081.0,0.0,2.0,1965.0,206363.0,454002.0,2016,247639.0,4848.06,61110000000000.0,-0.005335757,2017-04-12
16,17086439,,2.0,3.0,,2.0,1441.0,1441.0,6111,2.0,2.0,504.0,,34280732,-119222397,7944.0,,,1111,261,,61110018.00300799,34543.0,2061,761055.0,97083.0,6.0,,1957.0,51469.0,68758.0,2015,17289.0,779.86,61110018003008.0,-0.0020423092,2017-01-30
17,17086439,,2.0,3.0,,2.0,1441.0,1441.0,6111,2.0,2.0,504.0,,34280732,-119222397,7944.0,,,1111,261,,61110018.0,34543.0,2061,761055.0,97083.0,6.0,,1957.0,52253.0,69804.0,2016,17551.0,791.72,61110000000000.0,-0.0020423092,2017-01-30
18,17088994,,1.0,2.0,,1.0,777.0,777.0,6111,1.0,1.0,0.0,,34272866,-119198911,,,,1129,266,,61110015.031002,34543.0,2061,,97083.0,4.0,,1990.0,143809.0,239679.0,2015,95870.0,2581.3,61110015031002.0,0.0198,2016-03-30
19,17088994,,1.0,2.0,,1.0,777.0,777.0,6111,1.0,1.0,0.0,,34272866,-119198911,,,,1129,266,,61110015.031002,34543.0,2061,,97083.0,4.0,,1990.0,143809.0,239679.0,2015,95870.0,2581.3,61110015031002.0,0.0166367937,2017-04-19
