Category: All categories

Month,Cupcake: (Worldwide)
2004-01,5
2004-02,6
2004-03,6
2004-04,5
2004-05,6
2004-06,5
2004-07,5
2004-08,6
2004-09,6
2004-10,9
2004-11,6
2004-12,6
2005-01,7
2005-02,8
2005-03,8
2005-04,8
2005-05,7
2005-06,7
2005-07,7
2005-08,7
2005-09,8
2005-10,12
2005-11,8
2005-12,8
2006-01,9
2006-02,12
2006-03,10
2006-04,11
2006-05,11
2006-06,10
2006-07,10
2006-08,11
2006-09,13
2006-10,16
2006-11,12
2006-12,11
2007-01,13
2007-02,16
2007-03,15
2007-04,16
2007-05,17
2007-06,17
2007-07,18
2007-08,18
2007-09,19
2007-10,23
2007-11,19
2007-12,18
2008-01,19
2008-02,26
2008-03,23
2008-04,24
2008-05,25
2008-06,25
2008-07,25
2008-08,26
2008-09,27
2008-10,32
2008-11,28
2008-12,26
2009-01,30
2009-02,37
2009-03,35
2009-04,36
2009-05,37
2009-06,36
2009-07,37
2009-08,39
2009-09,38
2009-10,45
2009-11,38
2009-12,36
2010-01,39
2010-02,48
2010-03,46
2010-04,48
2010-05,51
2010-06,50
2010-07,60
2010-08,65
2010-09,63
2010-10,68
2010-11,60
2010-12,58
2011-01,60
2011-02,75
2011-03,73
2011-04,78
2011-05,70
2011-06,73
2011-07,73
2011-08,79
2011-09,77
2011-10,88
2011-11,83
2011-12,81
2012-01,81
2012-02,99
2012-03,92
2012-04,94
2012-05,96
2012-06,93
2012-07,91
2012-08,91
2012-09,96
2012-10,100
2012-11,87
2012-12,85
2013-01,84
2013-02,99
2013-03,98
2013-04,88
2013-05,90
2013-06,86
2013-07,86
2013-08,89
2013-09,86
2013-10,98
2013-11,89
2013-12,84
2014-01,83
2014-02,98
2014-03,92
2014-04,91
2014-05,84
2014-06,76
2014-07,83
2014-08,80
2014-09,83
2014-10,90
2014-11,83
2014-12,77
2015-01,73
2015-02,89
2015-03,80
2015-04,74
2015-05,75
2015-06,72
2015-07,71
2015-08,70
2015-09,71
2015-10,81
2015-11,70
2015-12,68
2016-01,66
2016-02,78
2016-03,72
2016-04,68
2016-05,68
2016-06,63
2016-07,61
2016-08,58
2016-09,62
2016-10,66
2016-11,59
2016-12,56
2017-01,57
2017-02,71
2017-03,61
2017-04,58
2017-05,57
2017-06,54
2017-07,52
2017-08,53
2017-09,54
2017-10,59
2017-11,52
2017-12,49
2018-01,49
2018-02,58
2018-03,55
2018-04,51
2018-05,52
2018-06,47
2018-07,46
2018-08,47
2018-09,48
2018-10,52
2018-11,47
2018-12,47
2019-01,51
2019-02,55
2019-03,50
2019-04,47
2019-05,46
2019-06,44
2019-07,41
2019-08,42
2019-09,44
2019-10,51
