Category: All categories
"Cupcake: (1/1/04 - 11/1/19, Worldwide)"

TOP
Recipe,100
Cake,83
Cup,36
Chocolate,35
Icing,29
Vanilla,14
Red velvet cake,11
Muffin,11
Bakery,10
Cream,9
Cookie,9
Buttercream,7
Cup,7
Baking,7
Butter,7
Cheese,6
Cashmere wool,6
Stuffing,6
Dessert,5
Georgetown Cupcake,5
Lemon,5
Baby shower,4
Fondant icing,4
Rainbow,3
Cake pop,3

RISING
Cashmere wool,Breakout
Georgetown Cupcake,Breakout
Baby shower,Breakout
Fondant icing,Breakout
Rainbow,Breakout
Cake pop,Breakout
Dough,Breakout
Muffin tin,Breakout
Peanut,Breakout
Flavor,Breakout
Carrot cake,Breakout
Mus,Breakout
Unicorn,Breakout
Sweetness,Breakout
Minnie Mouse,Breakout
Mickey Mouse,Breakout
Red velvet cake,"+1,800%"
Buttercream,"+1,150%"
Lemon,+800%
Icing,+600%
Muffin,+500%
Vanilla,+500%
Butter,+500%
Chocolate,+350%
Cookie,+300%

