"Salary","Children","Catalogs","Age_Old","Age_Young","Gender_Male","OwnHome_Rent","Married_Single","Location_Far","History_Low","History_Medium","History_NA","AmountSpent","Amt_Spnt_Class_Low","Amt_Spnt_Class_Med","Amt_Spnt_Class_MidHigh","Amt_Spnt_Class_MidLow"
47500,0,6,1,0,0,0,1,1,0,0,0,755,1,0,0,0
63600,0,6,0,0,1,1,1,0,0,0,0,1318,0,0,0,1
13500,0,18,0,1,0,1,1,0,1,0,0,296,1,0,0,0
85600,1,18,0,0,1,0,0,0,0,0,0,2436,0,0,0,1
68400,0,12,0,0,0,0,1,0,0,0,0,1304,0,0,0,1
30400,0,6,0,1,1,0,0,0,1,0,0,495,1,0,0,0
48100,0,12,0,0,0,1,1,0,0,1,0,782,1,0,0,0
68400,0,18,0,0,1,0,1,0,0,0,0,1155,0,0,0,1
51900,3,6,0,0,0,0,0,0,1,0,0,158,1,0,0,0
80700,0,18,1,0,1,0,0,1,NA,NA,1,3034,0,1,0,0
43700,1,12,0,1,1,1,0,0,NA,NA,1,927,1,0,0,0
111800,3,18,0,0,1,0,0,1,0,0,0,2065,0,0,0,1
44100,1,24,0,0,0,0,0,0,0,1,0,704,1,0,0,0
111400,0,12,0,0,1,0,0,0,0,0,0,2136,0,0,0,1
110000,0,24,1,0,0,0,0,1,0,0,0,5564,0,0,0,0
83100,1,12,0,0,0,0,0,1,NA,NA,1,2766,0,1,0,0
82800,0,24,1,0,0,0,0,0,0,0,0,3010,0,1,0,0
90100,0,18,0,0,1,0,0,0,0,0,0,1956,0,0,0,1
38600,1,18,0,0,1,1,1,0,1,0,0,542,1,0,0,0
14000,0,12,1,0,0,1,1,1,1,0,0,410,1,0,0,0
14300,2,6,0,1,0,1,1,1,1,0,0,194,1,0,0,0
49800,0,12,0,1,1,1,0,0,0,1,0,827,1,0,0,0
60200,0,18,1,0,0,1,0,1,0,0,0,2328,0,0,0,1
43500,1,12,0,1,1,1,0,1,0,1,0,808,1,0,0,0
41700,1,6,0,1,0,1,0,0,NA,NA,1,521,1,0,0,0
92300,3,18,0,0,0,0,0,0,1,0,0,655,1,0,0,0
62800,3,6,0,0,1,0,1,0,NA,NA,1,707,1,0,0,0
72900,0,18,0,0,0,1,0,1,0,0,0,2075,0,0,0,1
66900,2,12,0,0,0,1,0,0,0,1,0,769,1,0,0,0
21700,1,18,0,1,1,1,1,0,NA,NA,1,774,1,0,0,0
39700,0,12,1,0,0,1,0,0,0,1,0,573,1,0,0,0
72200,1,12,0,0,1,1,0,1,0,0,0,2082,0,0,0,1
87700,3,24,0,0,0,1,0,0,NA,NA,1,2446,0,0,0,1
104100,0,24,0,0,1,0,0,0,0,0,0,2636,0,1,0,0
67700,0,12,0,0,1,1,1,1,0,0,0,2226,0,0,0,1
27000,2,6,0,0,0,0,1,0,1,0,0,183,1,0,0,0
64100,2,24,0,0,0,0,1,1,0,0,0,1595,0,0,0,1
47000,1,12,0,0,1,1,1,0,0,1,0,584,1,0,0,0
41600,0,18,1,0,0,0,0,0,NA,NA,1,982,1,0,0,0
20100,0,24,1,0,0,1,1,0,1,0,0,576,1,0,0,0
64000,3,12,0,0,1,0,1,0,1,0,0,410,1,0,0,0
96800,3,24,0,0,0,0,0,1,NA,NA,1,3082,0,1,0,0
76200,1,24,0,0,1,1,0,0,NA,NA,1,2437,0,0,0,1
81500,0,18,1,0,0,1,0,1,0,0,0,3655,0,0,1,0
49600,1,12,0,0,0,0,1,0,0,1,0,844,1,0,0,0
111500,0,18,1,0,0,0,0,0,0,0,0,2510,0,1,0,0
77700,0,6,0,0,1,0,0,0,NA,NA,1,983,1,0,0,0
58900,0,18,0,1,1,0,0,0,NA,NA,1,1215,0,0,0,1
126500,2,18,0,0,1,0,0,0,0,0,0,2000,0,0,0,1
83300,1,24,0,0,0,0,0,0,0,0,0,2574,0,1,0,0
90500,1,6,0,0,0,0,0,0,0,0,0,1116,0,0,0,1
87200,0,18,0,0,0,0,0,1,0,0,0,3604,0,0,1,0
105300,1,24,0,0,0,0,0,0,NA,NA,1,3360,0,1,0,0
56000,3,6,0,0,0,0,1,1,0,1,0,530,1,0,0,0
46600,0,24,0,0,0,1,1,0,0,1,0,906,1,0,0,0
69800,0,24,1,0,1,1,0,0,0,0,0,2764,0,1,0,0
60300,0,24,0,0,1,0,1,0,0,0,0,1263,0,0,0,1
67800,0,12,0,1,1,1,0,0,0,0,0,1084,0,0,0,1
42300,0,24,0,0,1,1,1,0,0,1,0,1051,0,0,0,1
33700,0,6,0,1,0,0,0,1,NA,NA,1,614,1,0,0,0
62700,2,12,0,0,1,0,1,0,0,1,0,704,1,0,0,0
