"","Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","HALF1","HALF2"
"1",2000,178.8,179.5,180.5,180.9,180.9,181,181.3,181.7,182.3,182.8,183,182.8,180.3,182.3
"2",2001,183.5,184.4,185.3,185.6,185.5,185.9,186.2,186.6,187.1,187.6,188.1,187.8,185,187.2
"3",2002,188.2,189.2,189.8,190.3,190.2,190.1,190.3,191,191.3,191.8,191.8,191.4,189.6,191.3
"4",2003,191.8,192.5,193,193.1,193.2,193,193.2,193.5,193.6,194.3,193.9,193.6,192.8,193.7
"5",2004,194,194.9,196.1,196.5,196.5,196.6,196.6,196.8,197.4,198.2,198.1,197.8,195.8,197.5
"6",2005,198.4,199.5,200.7,200.9,200.8,200.6,200.8,201,201.3,202.3,202.3,202.1,200.2,201.6
"7",2006,202.6,203.6,204.9,205.5,205.7,205.9,206.2,206.7,207.2,207.8,207.6,207.3,204.7,207.1
"8",2007,208.009,209.112,209.923,210.311,210.316,210.474,210.756,211.111,211.628,212.318,212.435,212.356,209.691,211.767
"9",2008,213.138,213.866,214.866,215.059,215.18,215.553,216.045,216.476,216.862,217.023,216.69,216.1,214.61,216.533
"10",2009,216.719,217.685,218.639,219.143,219.128,219.283,219.35,219.596,220.137,220.731,220.384,220.025,218.433,220.037
"11",2010,220.086,220.602,221.059,221.166,221.193,221.265,221.258,221.551,221.907,222.079,222.077,221.795,220.895,221.778
"12",2011,222.177,223.011,223.69,224.118,224.534,224.891,225.164,225.874,226.289,226.743,226.859,226.74,223.737,226.278
"13",2012,227.237,227.865,228.735,229.303,229.602,229.879,229.893,230.196,230.78,231.276,231.263,231.033,228.77,230.74
"14",2013,231.612,232.432,233.052,233.236,233.462,233.64,233.792,234.258,234.782,235.162,235.243,235,232.906,234.706
"15",2014,235.367,236.075,236.913,237.509,238.029,238.157,238.138,238.296,238.841,239.413,239.248,238.775,237.008,238.785
"16",2015,239.248,240.083,241.067,241.802,242.119,242.354,242.436,242.651,243.359,243.985,244.075,243.779,241.112,243.381
"17",2016,244.528,245.68,246.358,246.992,247.544,247.794,247.744,248.278,248.731,249.218,249.227,249.134,246.483,248.722
"18",2017,250.083,251.143,251.29,251.642,251.835,252.014,251.936,252.46,252.941,253.638,253.492,253.558,251.335,253.004
"19",2018,254.638,255.783,256.61,257.025,257.469,257.697,257.867,258.012,258.429,259.063,259.105,259.083,256.537,258.593
"20",2019,260.122,261.114,261.836,262.332,262.59,263.177,263.566,264.169,264.522,265.059,265.108,264.935,261.862,264.56
"21",2020,266.004,267.268,267.312,266.089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
