"","Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","HALF1","HALF2"
"1",2000,112.5,116.7,122.2,120.7,121,129.6,129.7,125.9,130.6,129.3,129,128.1,120.5,128.8
"2",2001,132.5,132,129.5,133.1,140.1,140.5,132.4,129.4,132.5,122.1,116,111.4,134.6,124
"3",2002,111.7,111,115.6,122.2,122.9,124.9,125.5,125.8,126.1,125.8,125.3,123.3,118.1,125.3
"4",2003,127.5,135.4,142.6,138.1,134,136.5,136.8,140.6,144.6,136.9,133.1,131.8,135.7,137.3
"5",2004,137.4,140.6,143.1,145.9,154.1,159.7,156.3,155.3,154.3,157.7,158.6,153.7,146.8,156
"6",2005,151.9,155.2,160.8,170.9,169.4,171.4,178.5,186.6,208,204.3,187.6,180,163.3,190.8
"7",2006,189.5,186.4,188.6,201.4,209.3,211.3,215.1,214.7,199.1,181.3,180.4,185.2,197.8,196
"8",2007,183.567,184.451,196.929,207.265,219.071,221.088,217.274,209.294,209.637,207.588,219.009,217.506,202.062,213.385
"9",2008,219.465,219.311,230.505,240.194,257.106,275.621,280.833,266.283,258.02,231.561,189.938,171.158,240.367,232.965
"10",2009,174.622,178.741,177.454,179.704,186.909,205.408,201.938,204.971,202.243,199.198,204.026,202.301,183.806,202.446
"11",2010,208.026,204.455,209.999,212.977,214.363,211.66,212.372,212.663,210.003,210.947,211.97,217.953,210.247,212.651
"12",2011,223.266,226.86,242.516,253.495,260.376,254.17,252.661,251.706,250.48,240.902,238.177,232.3,243.447,244.371
"13",2012,236.942,242.663,253.599,255.736,250.306,244.167,239.972,250.306,256.332,250.523,238.946,233.473,247.235,244.925
"14",2013,234.624,248.146,249.565,244.757,247.805,251.921,251.37,250.011,248.513,238.524,233.136,234.542,246.136,242.683
"15",2014,239.551,242.041,250.543,252.717,255.982,259.858,257.907,250.951,247.077,234.745,221.844,209.785,250.115,237.052
"16",2015,192.619,196.597,204.731,203.715,214.33,220.861,219.852,213.248,201.641,194.501,189.267,183.378,205.476,200.315
"17",2016,180.171,172.061,179.017,185.652,192.673,200.035,195.94,193.524,195.852,194.786,191.402,193.306,184.935,194.135
"18",2017,199.608,198.195,198.597,202.869,203.132,204.646,202.554,205.894,215.711,207.29,209.383,206.598,201.175,207.905
"19",2018,210.663,213.519,212.554,218.83,226.81,229.137,227.107,226.939,226.165,225.757,215.91,205.905,218.586,221.297
"20",2019,200.563,202.74,211.724,222.499,225.773,221.373,222.492,216.978,215.418,216.351,214.636,212.982,214.112,216.476
"21",2020,213.043,208.354,199.573,183.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
