"","Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","HALF1","HALF2"
"1",2000,166.1,166.3,166.5,166.6,167.3,167.3,168.1,168.7,168.9,169.1,168.9,170,166.7,169
"2",2001,170.9,171.3,171.7,171.9,172.5,173,173.5,173.9,174.1,174.9,174.6,174.7,171.9,174.3
"3",2002,175.8,175.9,176.1,176.2,175.8,175.8,176,176,176.4,176.5,176.8,177.3,175.9,176.5
"4",2003,177.5,178.3,178.6,178.4,178.8,179.6,179.7,180.4,180.7,181.7,182.4,183.6,178.5,181.4
"5",2004,183.8,184.1,184.4,184.5,186.1,186.3,186.8,186.8,186.7,187.9,188.2,188.5,184.9,187.5
"6",2005,189.1,188.8,189.1,190.2,190.6,190.4,190.8,190.9,191.4,192.1,192.4,192.9,189.7,191.8
"7",2006,194.1,194,194,193.7,194.2,194.5,195,195.5,196.2,197.1,196.8,197,194.1,196.3
"8",2007,198.812,200,200.403,200.82,201.791,202.441,203.121,203.885,204.941,205.796,206.277,206.704,200.711,205.121
"9",2008,208.618,209.166,209.385,211.102,212.054,213.243,215.299,216.422,217.696,218.738,218.749,218.805,210.595,217.618
"10",2009,219.675,219.205,218.6,218.162,217.826,217.74,217.257,217.35,217.218,217.526,217.265,217.637,218.535,217.376
"11",2010,218.874,218.778,219.032,219.218,219.374,219.218,219.121,219.491,220.216,220.616,220.617,220.946,219.082,220.168
"12",2011,222.912,223.799,225.35,226.15,226.976,227.36,228.316,229.554,230.573,231.017,230.79,231.301,225.425,230.259
"13",2012,232.666,232.486,232.792,233.234,233.339,233.563,233.63,234.156,234.298,234.878,234.896,235.39,233.013,234.541
"14",2013,236.341,236.301,236.332,236.841,236.526,236.792,237.001,237.406,237.522,237.871,237.641,237.869,236.522,237.552
"15",2014,238.872,239.608,240.398,241.337,242.344,242.326,243.034,243.811,244.63,245.166,245.192,245.976,240.814,244.635
"16",2015,246.538,246.68,246.045,246.121,246.187,246.68,247.003,247.671,248.632,249.052,248.306,247.903,246.375,248.095
"17",2016,248.631,248.8,247.978,248.413,247.86,247.482,247.554,247.719,247.917,248.073,247.435,247.313,248.194,247.669
"18",2017,248.242,248.791,249.165,249.739,250.016,249.653,250.214,250.493,250.993,251.364,250.871,251.238,249.268,250.862
"19",2018,252.361,252.266,252.37,253.209,253.098,253.231,253.746,254.077,254.393,254.358,254.379,255.21,252.756,254.361
"20",2019,256.417,257.222,257.724,257.708,258.11,258.064,258.274,258.41,258.943,259.632,259.467,259.823,257.541,259.092
"21",2020,261.057,261.876,262.708,266.757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
