"month","day","attend","day_of_week","opponent","temp","skies","day_night","cap","shirt","fireworks","bobblehead","tot_pchd"
"4",10,56000,"2",13,67,"0","1","0","0","0","0",0
"4",11,29729,"3",13,58,"1","0","0","0","0","0",0
"4",12,28328,"4",13,57,"1","0","0","0","0","0",0
"4",13,31601,"5",11,54,"1","0","0","0","1","0",1
"4",14,46549,"6",11,57,"1","0","0","0","0","0",0
"4",15,38359,"7",11,65,"0","1","0","0","0","0",0
"4",23,26376,"1",3,60,"1","0","0","0","0","0",0
"4",24,44014,"2",3,63,"1","0","0","0","0","0",0
"4",25,26345,"3",3,64,"1","0","0","0","0","0",0
"4",27,44807,"5",10,66,"0","0","0","0","1","0",1
"4",28,54242,"6",10,71,"0","0","0","0","0","1",1
"4",29,48753,"7",10,74,"0","1","0","1","0","0",1
"5",7,43713,"1",7,67,"0","0","0","0","0","0",0
"5",8,32799,"2",7,75,"0","0","0","0","0","0",0
"5",9,33993,"3",7,71,"0","0","0","0","0","0",0
"5",11,35591,"5",15,65,"0","0","0","0","1","0",1
"5",12,33735,"6",15,65,"0","0","0","0","0","0",0
"5",13,49124,"7",15,70,"0","1","0","0","0","0",0
"5",14,24312,"1",16,67,"0","0","0","0","0","0",0
"5",15,47077,"2",16,70,"0","0","0","0","0","1",1
"5",18,40906,"5",5,64,"0","0","0","0","1","0",1
"5",19,39383,"6",5,67,"0","0","0","0","0","0",0
"5",20,44005,"7",5,77,"0","0","0","0","0","0",0
"5",25,36283,"5",2,59,"1","0","0","0","1","0",1
"5",26,36561,"6",2,61,"1","0","0","0","0","0",0
"5",27,33306,"7",2,70,"0","1","0","0","0","0",0
"5",28,38016,"1",4,73,"0","0","0","0","0","0",0
"5",29,51137,"2",4,74,"0","0","0","0","0","1",1
"5",30,25509,"3",4,69,"0","0","0","0","0","0",0
"5",31,26773,"4",4,70,"0","0","0","0","0","0",0
"6",11,50559,"1",1,68,"0","0","0","1","0","0",1
"6",12,55279,"2",1,66,"1","0","0","0","0","1",1
"6",13,43494,"3",1,67,"0","0","0","0","0","0",0
"6",15,40432,"5",17,67,"0","0","0","0","1","0",1
"6",16,45210,"6",17,68,"0","0","0","0","0","0",0
"6",17,53504,"7",17,74,"0","1","0","0","0","0",0
"6",28,49006,"4",9,75,"0","0","0","0","0","1",1
"6",29,49763,"5",9,72,"0","0","0","0","1","0",1
"6",30,44217,"6",9,78,"0","1","0","0","0","0",0
"7",1,55359,"7",9,75,"0","0","0","0","0","1",1
"7",2,34493,"1",14,70,"0","0","0","0","0","0",0
"7",3,33884,"2",14,70,"1","0","1","0","0","0",1
"7",4,53570,"3",14,70,"0","0","0","0","1","0",1
"7",13,43873,"5",11,76,"1","0","0","0","1","0",1
"7",14,54014,"6",11,75,"0","0","0","0","0","1",1
"7",15,39715,"7",11,77,"0","1","0","0","0","0",0
"7",16,32238,"1",12,67,"0","0","0","0","0","0",0
"7",17,53498,"2",12,70,"0","0","0","0","0","0",0
"7",18,39955,"3",12,80,"1","1","0","0","0","0",0
"7",30,33180,"1",16,73,"0","0","0","0","0","0",0
"7",31,52832,"2",16,75,"1","0","0","0","0","1",1
"8",1,36596,"3",16,79,"0","1","0","0","0","0",0
"8",3,43537,"5",6,73,"0","0","0","0","1","0",1
"8",4,46588,"6",6,73,"1","0","0","0","0","0",0
"8",5,42495,"7",6,83,"0","1","1","0","0","0",1
"8",6,32659,"1",15,79,"0","0","0","0","0","0",0
"8",7,55024,"2",15,80,"0","0","0","0","0","1",1
"8",8,37084,"3",15,84,"0","0","0","0","0","0",0
"8",20,36878,"1",7,80,"0","0","0","0","0","0",0
"8",21,56000,"2",7,75,"0","0","0","0","0","1",1
"8",22,40173,"3",7,75,"0","0","0","0","0","0",0
"8",24,39805,"5",8,71,"0","0","0","0","1","0",1
"8",25,40284,"6",8,70,"0","0","0","0","0","0",0
"8",26,41907,"7",8,81,"0","1","0","0","0","0",0
"8",30,54621,"4",16,80,"0","0","0","0","0","1",1
"8",31,37622,"5",16,77,"0","0","0","0","1","0",1
"9",1,35992,"6",16,81,"0","0","0","0","0","0",0
"9",2,31607,"7",16,89,"0","1","0","0","0","0",0
"9",3,33540,"1",11,84,"1","0","0","0","0","0",0
"9",4,40619,"2",11,78,"0","0","0","1","0","0",1
"9",5,50560,"3",11,77,"1","0","0","0","0","0",0
"9",13,43309,"4",5,80,"0","0","0","0","0","0",0
"9",14,40167,"5",5,85,"0","0","0","0","1","0",1
"9",15,42449,"6",5,95,"0","0","0","0","0","0",0
"9",16,35754,"7",5,86,"0","1","0","0","0","0",0
"9",28,37133,"5",15,77,"0","0","0","0","1","0",1
"9",29,40724,"6",15,84,"1","0","0","0","0","0",0
"9",30,35607,"7",15,95,"0","1","0","0","0","0",0
"10",1,33624,"1",7,86,"0","0","0","0","0","0",0
"10",2,42473,"2",7,83,"0","0","0","0","0","0",0
"10",3,34014,"3",7,82,"1","0","0","0","0","0",0
