Country,Rank,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
China,1,127050,126767,597237,411683,4.7,138
United States,2,96661,94747,792274,265436,8.2,230
Japan,3,30504,30287,223024,61554,7.31,134
United Kingdom,4,20944,20357,206091,37874,9.84,139
Russian Federation,5,18534,18301,34266,12422,1.85,57
Canada,6,17899,17620,215003,40930,12.01,149
Germany,7,17027,16831,140566,27426,8.26,126
India,8,15005,14841,128763,37209,8.58,115
France,9,13153,12973,130632,28601,9.93,114
South Korea,10,11983,11923,114675,22595,9.57,104
Italy,11,10964,10794,111850,26661,10.2,106
Spain,12,9428,9330,123336,23964,13.08,115
Iran,13,8896,8819,57470,19125,6.46,72
Australia,14,8831,8725,90765,15606,10.28,107
Brazil,15,8668,8596,60702,14396,7.0,86
Taiwan,16,6468,6441,86099,14768,13.31,102
Turkey,17,5879,5827,91857,23165,15.62,104
Norway,18,5675,5634,32693,6024,5.76,74
Netherlands,19,5170,5105,48351,6067,9.35,85
Sweden,20,4565,4494,57889,9632,12.68,95
Malaysia,21,3914,3881,25545,6597,6.53,62
Switzerland,22,3636,3599,38962,6186,10.72,81
Denmark,23,3531,3494,37254,6191,10.55,85
Mexico,24,3249,3214,21524,4145,6.62,57
Poland,25,3123,3102,24852,5395,7.96,55
Saudi Arabia,26,2979,2930,21208,2469,7.12,61
Greece,27,2866,2835,41662,6226,14.54,82
Egypt,28,2789,2752,19123,2778,6.86,55
Belgium,29,2697,2642,23720,3300,8.79,63
Singapore,30,2488,2443,36098,3700,14.51,81
Hong Kong,31,2448,2436,34453,3959,14.07,78
Portugal,32,2443,2426,22700,3639,9.29,63
Finland,33,1998,1978,19273,3260,9.65,59
South Africa,34,1928,1913,11924,1996,6.18,46
Austria,35,1761,1736,14580,1557,8.28,53
Ukraine,36,1744,1608,5073,1323,2.91,27
Romania,37,1738,1729,7100,1350,4.09,38
Thailand,38,1722,1712,19764,2600,11.48,62
Czech Republic,39,1608,1600,5630,1119,3.5,36
Argentina,40,1223,1213,10620,1654,8.68,47
Israel,41,1215,1202,14764,2051,12.15,54
Algeria,42,1215,1197,7393,1413,6.08,40
United Arab Emirates,43,1137,1124,6055,611,5.33,37
New Zealand,44,1092,1082,11504,1209,10.53,47
Colombia,45,1017,1014,7111,844,6.99,37
Nigeria,46,1017,1011,3559,684,3.5,29
Ireland,47,974,959,14361,1719,14.74,57
Venezuela,48,891,886,6109,693,6.86,41
Indonesia,49,833,827,3588,355,4.31,28
Kuwait,50,737,731,6101,651,8.28,39
Hungary,51,706,699,4367,847,6.19,32
Slovakia,52,690,690,2371,593,3.44,21
Estonia,53,682,664,2865,1394,4.2,19
Chile,54,666,650,5907,738,8.87,35
Tunisia,55,615,612,3902,670,6.34,32
Slovenia,56,609,609,6784,747,11.14,39
Pakistan,57,593,588,3536,836,5.96,28
Jordan,58,558,554,6992,690,12.53,43
Bulgaria,59,545,540,6095,989,11.18,38
