,Energy Supply,Energy Supply per Capita,% Renewable,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,321000000.0,10.0,78.66928,10305228125.1392,11721187594.2052,12144482858.18,14697331940.6464,15936800636.2487,16911126453.2276,19352203805.6294,19731337260.6378,19990317160.6756,20294152243.0072
Albania,102000000.0,35.0,100.0,9771760095.12554,10348293941.5853,11127520474.2981,11500292411.1744,11926953258.916,12231090567.6672,12404772053.5014,12542465022.373001,12793314322.8205,13120823169.4847
Algeria,1959000000.0,51.0,0.55101,144647409920.555,149565421857.854,153154991982.442,155605471854.161,161207268840.911,165882279637.297,171522277144.965,176324900905.025,183025247139.415,190163231777.852
American Samoa,,,0.641026,,,,,,,,,,
Andorra,9000000.0,121.0,88.69565,4018195653.51015,4021331428.40105,3675727910.50681,3535389132.6024103,3346317328.52461,3185604581.52029,3129537611.8862,3127549907.58377,,
Angola,642000000.0,27.0,70.90909,55811028114.6479,68420444001.4995,77874196512.1845,79753199398.1396,82470913120.7314,85702615836.4404,90120963241.2186,96261432368.2645,100886286610.95801,103910558934.02
Antigua and Barbuda,8000000.0,84.0,0.0,1268714285.47719,1389228751.06647,1390216645.80882,1222889960.98576,1135539037.03704,1115173875.6545901,1159998756.1628098,1155982145.44651,1211723376.69427,1256122384.1201901
Argentina,3378000000.0,79.0,24.06452,378814002617.524,408988709469.622,421564889399.94,421775774944.173,461640242696.171,500355477549.572,504367128523.16,518919894963.108,521273744038.474,
Armenia,143000000.0,48.0,28.23606,8679746345.9219,9873142200.518791,10554389012.5207,9060944166.218409,9260284937.79781,9695518329.74637,10393595649.8063,10736584306.437,11112364757.0387,11445735699.8896
Aruba,12000000.0,120.0,14.87069,,,,,2467703910.61453,,,,,
Australia,5386000000.0,231.0,11.81081,1021939264106.67,1060340245233.55,1099643871866.03,1119653852349.08,1142250506474.06,1169431057881.91,1211913217353.49,1241484494446.53,1272519759757.29,1301251030445.66
Austria,1391000000.0,164.0,72.45282,378209615894.04,391906516556.291,397970344370.861,382851152317.88104,390235099337.748,401192900662.252,404231192052.98,405529788079.47,406963218543.046,410471668874.17206
Azerbaijan,567000000.0,60.0,6.384345,33290473786.6938,41629404406.7868,46113899018.7892,50453518392.5171,52902703376.1056,52937578302.4383,54102205124.8452,57238335961.2495,58383102680.4744,59025316809.9597
Bahrain,574000000.0,425.0,0.0,20889606053.0421,22621864899.6304,24034629395.827003,24645054296.3673,25713271276.5957,26253297313.7808,27195450594.6122,28667523540.1032,29952096679.5289,30828664921.8132
Bangladesh,1625000000.0,10.0,1.966329,91588846353.8372,98053769823.2911,103950517391.466,109194950718.059,115279077465.226,122731159566.449,130734992458.51,138596866823.802,146997351891.58,156629549345.307
Barbados,19000000.0,69.0,0.0,4522425774.134789,4599351548.26958,4619595173.04189,4433353825.13661,4445500000.0,4477889799.6357,4490035974.49909,4490035974.49909,4498133424.4080105,4542669398.9071
Belarus,1142000000.0,120.0,0.463389,42740979973.2051,46416704250.96,51151208084.6036,51253510500.7953,55220932613.958,58282221784.1466,59291315056.9118,59927867090.4525,60960475780.0875,58590516276.18
Belgium,2338000000.0,210.0,9.959739,462608115496.68896,478325096291.391,481898678410.596,470887876688.742,483577483443.709,492266586887.41705,493047601589.404,493062669403.97296,499450164900.66205,506312296423.841
Belize,13000000.0,39.0,64.69003,1285311893.01829,1299522123.00025,1341485008.97861,1352206184.12149,1397113450.0,1426483827.61776,1479846067.46726,1499279704.46173,1560479049.97629,1590416619.18404
Benin,170000000.0,16.0,0.0,6000595826.41589,6359822426.97484,6671033590.82541,6825749997.99683,6970240895.498879,7176751732.08258,7509969971.09116,8026580503.0831,8551638195.2367,8999782271.18152
Bermuda,6000000.0,88.0,0.0,5932559093.07918,6101393205.83452,6194616021.02816,5867281536.74729,5744414000.0,5552579615.57093,5284137923.53055,5151445059.9242,,
Bhutan,63000000.0,83.0,100.0,1076852655.51349,1269887377.45454,1330440105.8777301,1419010481.1982,1585472534.10547,1710580806.57351,1797336501.23336,1835844373.82886,1936059764.3347898,1999064080.96347
Bolivia,336000000.0,32.0,31.47712,16449574691.7853,17200396431.0132,18257962323.1053,18870882348.149,19649631308.1648,20672216340.1924,21731104039.6498,23207952413.94,24475238843.5128,25444881251.3693
Bosnia and Herzegovina,266000000.0,70.0,41.46467,15723650301.0536,16624420020.5733,17535688926.8898,17032435501.0692,17163117551.4626,17319001218.8516,17157382446.0436,17568163106.0508,17758228834.331,18318958459.1561
Botswana,86000000.0,39.0,0.131406,11086672844.5933,12004665708.2265,12754011016.812,11778034530.5401,12786662034.8563,13560039807.5122,14164338408.1026,15560983628.0818,16059544331.1042,16018635343.3957
Brazil,12149000000.0,59.0,69.64803,1845079664513.56,1957118136056.33,2056809174052.93,2054214562458.19,2208872214643.02,2295244758549.53,2339209222185.09,2409739667075.82,2412230647720.45,2319423390494.13
British Virgin Islands,2000000.0,85.0,0.0,,,,,,,,,,
